Date,Type,Category,Description,Amount
2024-01-15,expense,Materials,Office supplies purchase,125.50
2024-01-16,income,Client Payment,Project milestone payment,2500.00
2024-01-17,expense,Travel,Client meeting travel expenses,85.75
2024-01-18,expense,Software,Monthly subscription renewal,99.00
2024-01-19,income,Grant,Research grant funding,5000.00
2024-01-20,expense,Labor,Contractor payment,1200.00
2024-01-21,expense,Equipment,Laptop purchase,1499.99
2024-01-22,income,Investment,Angel investor funding,10000.00
2024-01-23,expense,Marketing,Social media advertising,250.00
2024-01-24,expense,Utilities,Internet and phone bills,150.00
